Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-05-28,06:00:00,CNR1478163327,Success,877572,Prime Sedan,Perambur,Nungambakkam,2.82,11.63,0,NULL,0,NULL,0,NULL,112.7130718,4.62,3.8,4.4
2025-05-24,22:00:00,CNR7635473142,Cancelled by Driver,331148,Mini,Chetpet,Saidapet,NULL,NULL,0,NULL,1,Personal & Car related issues,0,NULL,NULL,NULL,NULL,NULL
2025-05-07,19:00:00,CNR8293453178,Success,456778,Prime Sedan,Korattur,Nanganallur,4.69,3.21,0,NULL,0,NULL,0,NULL,922.608222,24.6,4.6,4.3
2025-05-17,03:00:00,CNR9928378856,Incomplete,407419,Prime SUV,Sholinganallur,Mogappair,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-25,15:00:00,CNR1298737106,Cancelled by Driver,793384,Prime Plus,Tambaram,Egmore,NULL,NULL,0,NULL,1,Personal & Car related issues,0,NULL,NULL,NULL,NULL,NULL
2025-05-17,05:00:00,CNR6488854841,Success,766563,Prime SUV,Thiruvanmiyur,Kotturpuram,3.68,5.47,0,NULL,0,NULL,0,NULL,648.2179051,6.79,4.6,3.7
2025-05-17,04:00:00,CNR1240251661,Success,961722,Auto,Vadapalani,Mandaveli,3.69,14.26,0,NULL,0,NULL,0,NULL,689.8947988,13.08,4.9,4.2
2025-05-12,07:00:00,CNR1599707677,Cancelled by Driver,881177,Bike,Mount Road,Porur,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-25,21:00:00,CNR7010379415,Success,329974,Prime Plus,Parrys,Choolaimedu,2.38,3.43,0,NULL,0,NULL,0,NULL,268.8639867,3.78,4.1,5
2025-05-23,13:00:00,CNR5047709743,Incomplete,813328,eBike,Kilpauk,Pallavaram,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-28,08:00:00,CNR2461042543,Success,407757,Mini,Kotturpuram,Aminjikarai,7.78,11.36,0,NULL,0,NULL,0,NULL,556.9135071,4.98,4.4,4.8
2025-05-22,15:00:00,CNR3615507143,Success,260263,Prime Sedan,Siruseri,Kotturpuram,8.23,8.89,0,NULL,0,NULL,0,NULL,100.63,2.55,4.9,4.8
2025-05-14,02:00:00,CNR2028439863,Success,352572,Bike,Egmore,Thoraipakkam,2.55,11.89,0,NULL,0,NULL,0,NULL,942.42,15.31,4.3,3.9
2025-05-26,21:00:00,CNR6633778586,Incomplete,804314,eBike,Thiruvanmiyur,Padi,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-06,03:00:00,CNR2064746525,Success,167136,Prime Sedan,Anna Nagar,Chetpet,6.71,2.09,0,NULL,0,NULL,0,NULL,878.63,3.89,3.5,4
2025-05-22,22:00:00,CNR6317189421,Success,801474,Mini,Nanganallur,Mount Road,9.48,9.42,0,NULL,0,NULL,0,NULL,422.9987991,7.33,3.6,4.1
2025-05-19,01:00:00,CNR7060638140,Success,864491,Auto,Pallavaram,Kelambakkam,2.79,7.23,0,NULL,0,NULL,0,NULL,674.0594337,7.33,4.2,4.1
2025-05-12,21:00:00,CNR2986972437,Success,179046,Mini,Broadway,Guindy,9.99,12.87,0,NULL,0,NULL,0,NULL,863.826161,6.66,4.2,3.8
2025-05-18,02:00:00,CNR4875962612,Success,272634,Mini,Adyar,Royapettah,8.27,7.92,0,NULL,0,NULL,0,NULL,498.1690758,17.56,4.6,3.7
2025-05-13,15:00:00,CNR9841118422,Success,871476,Bike,Besant Nagar,Semmancheri,2.4,8.2,0,NULL,0,NULL,0,NULL,151.1916218,16.22,4.8,3.6
2025-05-03,21:00:00,CNR6305160342,Success,225710,Bike,Perambur,Chetpet,6.96,7.45,0,NULL,0,NULL,0,NULL,473.8825031,7.72,4.6,3.9
2025-05-17,21:00:00,CNR8067372072,Success,579434,Prime Sedan,Siruseri,Chromepet,6.97,9.32,0,NULL,0,NULL,0,NULL,284.97,16.16,3.7,4
2025-05-03,22:00:00,CNR4776436931,Cancelled by Driver,487477,Prime Sedan,Kotturpuram,Padi,NULL,NULL,0,NULL,1,The customer was coughing/sick,0,NULL,NULL,NULL,NULL,NULL
2025-05-27,02:00:00,CNR3271782991,Success,800305,Prime SUV,Broadway,T Nagar,2.83,13.42,0,NULL,0,NULL,0,NULL,1019.691679,6.35,3.9,3.8
2025-05-15,15:00:00,CNR7393195616,Success,987204,Auto,Egmore,Sholinganallur,4.21,2.05,0,NULL,0,NULL,0,NULL,204.782105,22.75,4.3,4.1
2025-05-01,09:00:00,CNR1480494664,Cancelled by Driver,824586,Prime Plus,Mount Road,Ashok Nagar,NULL,NULL,0,NULL,1,Customer related issue,0,NULL,NULL,NULL,NULL,NULL
2025-05-19,08:00:00,CNR1547374338,Success,423232,Prime Sedan,Ashok Nagar,Villivakkam,4,3.34,0,NULL,0,NULL,0,NULL,262.5509559,19.38,3.7,4.9
2025-05-07,22:00:00,CNR4482238042,Incomplete,532322,Auto,Madipakkam,Semmancheri,NULL,NULL,0,NULL,0,NULL,1,Vehicle Breakdown,NULL,NULL,NULL,NULL
2025-05-29,13:00:00,CNR4482141802,Success,379766,Prime Plus,Pammal,Guindy,2.31,8.12,0,NULL,0,NULL,0,NULL,744.7608971,24.98,4.8,3.8
2025-05-29,03:00:00,CNR6124453431,Success,444207,Prime Sedan,Chromepet,Saidapet,6.08,10.83,0,NULL,0,NULL,0,NULL,124.8404816,26.56,3.9,4.4
2025-05-12,07:00:00,CNR1164313410,Cancelled by Driver,725550,Mini,Villivakkam,Thoraipakkam,NULL,NULL,0,NULL,1,More than permitted people in there,0,NULL,NULL,NULL,NULL,NULL
2025-05-26,20:00:00,CNR5791662169,Cancelled by Driver,704596,Prime Plus,Porur,Ashok Nagar,NULL,NULL,0,NULL,1,Personal & Car related issues,0,NULL,NULL,NULL,NULL,NULL
2025-05-23,04:00:00,CNR3880327491,Incomplete,481913,Mini,Chromepet,Perungudi,NULL,NULL,0,NULL,0,NULL,1,Other Issue,NULL,NULL,NULL,NULL
2025-05-14,09:00:00,CNR9160639027,Success,631756,Prime Sedan,Perungudi,Ambattur,7.58,9.21,0,NULL,0,NULL,0,NULL,311.02,12.62,4.6,3.8
2025-05-25,06:00:00,CNR6587537178,Success,674553,Prime SUV,Adyar,T Nagar,5.44,9.54,0,NULL,0,NULL,0,NULL,497.9438194,7.98,4.2,4.9
2025-05-08,05:00:00,CNR3829742424,Success,397571,Bike,Perungudi,Sholinganallur,2.75,14.38,0,NULL,0,NULL,0,NULL,358.36,24.58,3.7,3.6
2025-05-21,06:00:00,CNR4300636585,Success,577538,Mini,Sholinganallur,Triplicane,7.57,8.43,0,NULL,0,NULL,0,NULL,368.38,2.16,4.6,4.7
2025-05-05,13:00:00,CNR8638257497,Success,329471,Prime Plus,Pammal,Koyambedu,6.46,13.93,0,NULL,0,NULL,0,NULL,233.49,15.01,4.3,4.3
2025-05-14,12:00:00,CNR9123612497,Success,742412,Prime SUV,Thoraipakkam,Parrys,9.25,7.8,0,NULL,0,NULL,0,NULL,815.0488301,23.05,4.8,3.9
2025-05-23,05:00:00,CNR6322520473,Success,561239,Auto,Manapakkam,Tambaram,4.69,13.61,0,NULL,0,NULL,0,NULL,188.64,12.72,3.7,3.8
2025-05-18,16:00:00,CNR7045593274,Success,668969,Mini,Ambattur,Besant Nagar,5.36,13.76,0,NULL,0,NULL,0,NULL,442.6928129,23.44,4.1,3.5
2025-05-16,00:00:00,CNR8884394611,Cancelled by Driver,664365,eBike,Semmancheri,Mount Road,NULL,NULL,0,NULL,1,Customer related issue,0,NULL,NULL,NULL,NULL,NULL
2025-05-21,19:00:00,CNR6237376063,Success,557007,Mini,Anna Nagar,Royapettah,7.43,7.26,0,NULL,0,NULL,0,NULL,281.55,5.57,4.4,3.5
2025-05-17,19:00:00,CNR3847562279,Cancelled by Driver,188025,eBike,Avadi,Kodambakkam,NULL,NULL,0,NULL,1,Customer related issue,0,NULL,NULL,NULL,NULL,NULL
2025-05-03,03:00:00,CNR6412330148,Success,443254,Prime Plus,Aminjikarai,Vadapalani,9.04,5.62,0,NULL,0,NULL,0,NULL,851.4198234,15.17,4.6,3.6
2025-05-15,22:00:00,CNR2062073697,Success,979995,Auto,Mogappair,Korattur,5.79,3.49,0,NULL,0,NULL,0,NULL,330.6193269,12.33,4.4,4.9
